timestamp,Office_Allyson
01-01-2015 0:00,10.69
01-01-2015 1:00,10.53
01-01-2015 2:00,10.21
01-01-2015 3:00,10.3
01-01-2015 4:00,10.43
01-01-2015 5:00,10.73
01-01-2015 6:00,14.3025
01-01-2015 7:00,22.0025
01-01-2015 8:00,37.29
01-01-2015 9:00,44.205
01-01-2015 10:00,61.75
01-01-2015 11:00,22.57
01-01-2015 12:00,36.22
01-01-2015 13:00,50.11
01-01-2015 14:00,44.05
01-01-2015 15:00,51.22
01-01-2015 16:00,38.1
01-01-2015 17:00,31.64
01-01-2015 18:00,42.05
01-01-2015 19:00,62.24
01-01-2015 20:00,23.97
01-01-2015 21:00,10.63
01-01-2015 22:00,10.89
01-01-2015 23:00,10.47
02-01-2015 0:00,10.56
02-01-2015 1:00,10.77
02-01-2015 2:00,10.13
02-01-2015 3:00,10.75
02-01-2015 4:00,10.57
02-01-2015 5:00,10.04
02-01-2015 6:00,13.5825
02-01-2015 7:00,24.2975
02-01-2015 8:00,45.41
02-01-2015 9:00,49.065
02-01-2015 10:00,44.955
02-01-2015 11:00,53.09
02-01-2015 12:00,35.47
02-01-2015 13:00,29.09
02-01-2015 14:00,30.82
02-01-2015 15:00,31.06
02-01-2015 16:00,29.66
02-01-2015 17:00,22.07
02-01-2015 18:00,29.97
02-01-2015 19:00,52.83
02-01-2015 20:00,24.6
02-01-2015 21:00,10.71
02-01-2015 22:00,10.93
02-01-2015 23:00,10.53
03-01-2015 0:00,10.74
03-01-2015 1:00,10.19
03-01-2015 2:00,10.3
03-01-2015 3:00,10.47
03-01-2015 4:00,10.45
03-01-2015 5:00,11.38
03-01-2015 6:00,10.02
03-01-2015 7:00,10.15
03-01-2015 8:00,9.19
03-01-2015 9:00,9.3
03-01-2015 10:00,9.44
03-01-2015 11:00,9.58
03-01-2015 12:00,9.98
03-01-2015 13:00,9.53
03-01-2015 14:00,9.79
03-01-2015 15:00,9.83
03-01-2015 16:00,9.92
03-01-2015 17:00,9.53
03-01-2015 18:00,10.37
03-01-2015 19:00,10.54
03-01-2015 20:00,10.32
03-01-2015 21:00,10.73
03-01-2015 22:00,10.23
03-01-2015 23:00,10.26
04-01-2015 0:00,10.41
04-01-2015 1:00,10.68
04-01-2015 2:00,10.7
04-01-2015 3:00,10.63
04-01-2015 4:00,10.29
04-01-2015 5:00,10.31
04-01-2015 6:00,10.41
04-01-2015 7:00,10.05
04-01-2015 8:00,9.59
04-01-2015 9:00,9.33
04-01-2015 10:00,9.53
04-01-2015 11:00,9.36
04-01-2015 12:00,9.67
04-01-2015 13:00,10.12
04-01-2015 14:00,10.06
04-01-2015 15:00,10
04-01-2015 16:00,10.13
04-01-2015 17:00,9.98
04-01-2015 18:00,10.68
04-01-2015 19:00,10.66
04-01-2015 20:00,10.88
04-01-2015 21:00,10.66
04-01-2015 22:00,10.26
04-01-2015 23:00,10.97
05-01-2015 0:00,10.75
05-01-2015 1:00,10.42
05-01-2015 2:00,10.49
05-01-2015 3:00,10.41
05-01-2015 4:00,10.29
05-01-2015 5:00,10.69
05-01-2015 6:00,27.9875
05-01-2015 7:00,34.545
05-01-2015 8:00,39.525
05-01-2015 9:00,37.5325
05-01-2015 10:00,41.6625
05-01-2015 11:00,38.29
05-01-2015 12:00,53.21
05-01-2015 13:00,38.8
05-01-2015 14:00,32.74
05-01-2015 15:00,30.9
05-01-2015 16:00,29.94
05-01-2015 17:00,22.6
05-01-2015 18:00,19.19
05-01-2015 19:00,27.87
05-01-2015 20:00,23.4
05-01-2015 21:00,13.17
05-01-2015 22:00,14.91
05-01-2015 23:00,14.52
06-01-2015 0:00,13.23
06-01-2015 1:00,13.99
06-01-2015 2:00,13.61
06-01-2015 3:00,12.25
06-01-2015 4:00,10.92
06-01-2015 5:00,10.5
06-01-2015 6:00,22.925
06-01-2015 7:00,29.035
06-01-2015 8:00,36.66
06-01-2015 9:00,39.2025
06-01-2015 10:00,44.39
06-01-2015 11:00,30.58
06-01-2015 12:00,30.46
06-01-2015 13:00,31.48
06-01-2015 14:00,31.36
06-01-2015 15:00,29.56
06-01-2015 16:00,30.15
06-01-2015 17:00,22.92
06-01-2015 18:00,19.06
06-01-2015 19:00,18.23
06-01-2015 20:00,16.26
06-01-2015 21:00,14.44
06-01-2015 22:00,15.89
06-01-2015 23:00,16.19
07-01-2015 0:00,16.85
07-01-2015 1:00,15.23
07-01-2015 2:00,15.52
07-01-2015 3:00,13.82
07-01-2015 4:00,12.2
07-01-2015 5:00,12.12
07-01-2015 6:00,55.14
07-01-2015 7:00,29.285
07-01-2015 8:00,34.93
07-01-2015 9:00,51.18
07-01-2015 10:00,37.11
07-01-2015 11:00,31.12
07-01-2015 12:00,29.41
07-01-2015 13:00,30.71
07-01-2015 14:00,31.85
07-01-2015 15:00,30.67
07-01-2015 16:00,28.86
07-01-2015 17:00,22.99
07-01-2015 18:00,20.81
07-01-2015 19:00,19.33
07-01-2015 20:00,15.16
07-01-2015 21:00,14.44
07-01-2015 22:00,13.9
07-01-2015 23:00,12.93
08-01-2015 0:00,13.44
08-01-2015 1:00,13.28
08-01-2015 2:00,12.6
08-01-2015 3:00,13.25
08-01-2015 4:00,12.36
08-01-2015 5:00,12.03
08-01-2015 6:00,14.71
08-01-2015 7:00,17.86
08-01-2015 8:00,21.2
08-01-2015 9:00,27.81
08-01-2015 10:00,30.18
08-01-2015 11:00,30.75
08-01-2015 12:00,29.62
08-01-2015 13:00,30.95
08-01-2015 14:00,33.06
08-01-2015 15:00,30.94
08-01-2015 16:00,30.3
08-01-2015 17:00,23.41
08-01-2015 18:00,21.76
08-01-2015 19:00,20.22
08-01-2015 20:00,16.1
08-01-2015 21:00,14.95
08-01-2015 22:00,15.62
08-01-2015 23:00,15.4
09-01-2015 0:00,14.92
09-01-2015 1:00,14.74
09-01-2015 2:00,13.97
09-01-2015 3:00,13.98
09-01-2015 4:00,12.52
09-01-2015 5:00,12.62
09-01-2015 6:00,27.79
09-01-2015 7:00,49.55
09-01-2015 8:00,47.4
09-01-2015 9:00,34.44
09-01-2015 10:00,31.45
09-01-2015 11:00,32.34
09-01-2015 12:00,30.93
09-01-2015 13:00,30.59
09-01-2015 14:00,29.94
09-01-2015 15:00,30.44
09-01-2015 16:00,29.86
09-01-2015 17:00,23.95
09-01-2015 18:00,19.08
09-01-2015 19:00,18.69
09-01-2015 20:00,15.12
09-01-2015 21:00,13.83
09-01-2015 22:00,14.54
09-01-2015 23:00,13.45
10-01-2015 0:00,13.82
10-01-2015 1:00,13.84
10-01-2015 2:00,14.09
10-01-2015 3:00,12.25
10-01-2015 4:00,12.3
10-01-2015 5:00,12.5
10-01-2015 6:00,12.01
10-01-2015 7:00,11.9
10-01-2015 8:00,11.06
10-01-2015 9:00,10.96
10-01-2015 10:00,10.59
10-01-2015 11:00,12.01
10-01-2015 12:00,11.73
10-01-2015 13:00,12.02
10-01-2015 14:00,12.14
10-01-2015 15:00,12.03
10-01-2015 16:00,11.18
10-01-2015 17:00,11.54
10-01-2015 18:00,10.83
10-01-2015 19:00,11.8
10-01-2015 20:00,11.5
10-01-2015 21:00,11.65
10-01-2015 22:00,11.34
10-01-2015 23:00,11.81
11-01-2015 0:00,11.64
11-01-2015 1:00,11.39
11-01-2015 2:00,11.93
11-01-2015 3:00,11.72
11-01-2015 4:00,10.87
11-01-2015 5:00,11.42
11-01-2015 6:00,11.74
11-01-2015 7:00,11.08
11-01-2015 8:00,10.14
11-01-2015 9:00,10.7
11-01-2015 10:00,10.5
11-01-2015 11:00,10.75
11-01-2015 12:00,11.6
11-01-2015 13:00,11.68
11-01-2015 14:00,11.85
11-01-2015 15:00,11.58
11-01-2015 16:00,11.76
11-01-2015 17:00,11.38
11-01-2015 18:00,12.58
11-01-2015 19:00,12.55
11-01-2015 20:00,12.17
11-01-2015 21:00,12.19
11-01-2015 22:00,11.75
11-01-2015 23:00,11.83
12-01-2015 0:00,11.99
12-01-2015 1:00,11.85
12-01-2015 2:00,11.64
12-01-2015 3:00,11.45
12-01-2015 4:00,11.17
12-01-2015 5:00,11.48
12-01-2015 6:00,31.65
12-01-2015 7:00,52.02
12-01-2015 8:00,47.35
12-01-2015 9:00,33.62
12-01-2015 10:00,32.61
12-01-2015 11:00,32.38
12-01-2015 12:00,31.24
12-01-2015 13:00,33.79
12-01-2015 14:00,31.18
12-01-2015 15:00,30.73
12-01-2015 16:00,31.04
12-01-2015 17:00,23.58
12-01-2015 18:00,20.54
12-01-2015 19:00,18.92
12-01-2015 20:00,15.82
12-01-2015 21:00,14.36
12-01-2015 22:00,15.4
12-01-2015 23:00,14.69
13-01-2015 00:00,14.49
13-01-2015 01:00,13.2
13-01-2015 02:00,13.13
13-01-2015 03:00,12.18
13-01-2015 04:00,11.91
13-01-2015 05:00,12.06
13-01-2015 06:00,14.98
13-01-2015 07:00,18.75
13-01-2015 08:00,28.38
13-01-2015 09:00,32.23
13-01-2015 10:00,32.38
13-01-2015 11:00,32.93
13-01-2015 12:00,30.98
13-01-2015 13:00,34.41
13-01-2015 14:00,34.22
13-01-2015 15:00,31.46
13-01-2015 16:00,31.55
13-01-2015 17:00,24.6
13-01-2015 18:00,20.18
13-01-2015 19:00,19.59
13-01-2015 20:00,14.93
13-01-2015 21:00,14.27
13-01-2015 22:00,13.9
13-01-2015 23:00,14.81
14-01-2015 00:00,13.53
14-01-2015 01:00,15.02
14-01-2015 02:00,13.63
14-01-2015 03:00,14.46
14-01-2015 04:00,11.94
14-01-2015 05:00,11.87
14-01-2015 06:00,39.33
14-01-2015 07:00,29.695
14-01-2015 08:00,35.655
14-01-2015 09:00,47.88
14-01-2015 10:00,35.41
14-01-2015 11:00,34.42
14-01-2015 12:00,33.62
14-01-2015 13:00,35.63
14-01-2015 14:00,34.7725
14-01-2015 15:00,34.4875
14-01-2015 16:00,32.8525
14-01-2015 17:00,28.5975
14-01-2015 18:00,24.605
14-01-2015 19:00,21.455
14-01-2015 20:00,17.98
14-01-2015 21:00,15.9375
14-01-2015 22:00,15.8375
14-01-2015 23:00,16.1925
15-01-2015 00:00,15.935
15-01-2015 01:00,15.8725
15-01-2015 02:00,15.395
15-01-2015 03:00,15.5525
15-01-2015 04:00,14.9175
15-01-2015 05:00,14.715
15-01-2015 06:00,18.675
15-01-2015 07:00,25.825
15-01-2015 08:00,32.525
15-01-2015 09:00,35.46
15-01-2015 10:00,35.91
15-01-2015 11:00,32.16
15-01-2015 12:00,30.82
15-01-2015 13:00,33.25
15-01-2015 14:00,33.95
15-01-2015 15:00,34.06
15-01-2015 16:00,31.7175
15-01-2015 17:00,25.9625
15-01-2015 18:00,23.3425
15-01-2015 19:00,24.4825
15-01-2015 20:00,19.27
15-01-2015 21:00,15.03
15-01-2015 22:00,14.6775
15-01-2015 23:00,14.715
16-01-2015 00:00,14.38
16-01-2015 01:00,14.265
16-01-2015 02:00,14.0275
16-01-2015 03:00,14.205
16-01-2015 04:00,14.4025
16-01-2015 05:00,14.02
16-01-2015 06:00,22.01
16-01-2015 07:00,30.8325
16-01-2015 08:00,57.47
16-01-2015 09:00,40.11
16-01-2015 10:00,33.38
16-01-2015 11:00,32.69
16-01-2015 12:00,31.75
16-01-2015 13:00,32.15
16-01-2015 14:00,31.11
16-01-2015 15:00,31.28
16-01-2015 16:00,29.33
16-01-2015 17:00,23.78
16-01-2015 18:00,20.23
16-01-2015 19:00,19.76
16-01-2015 20:00,15.55
16-01-2015 21:00,13.95
16-01-2015 22:00,13.84
16-01-2015 23:00,15.03
17-01-2015 00:00,13.15
17-01-2015 01:00,13.54
17-01-2015 02:00,13.8
17-01-2015 03:00,13.82
17-01-2015 04:00,12.83
17-01-2015 05:00,12.72
17-01-2015 06:00,12.08
17-01-2015 07:00,12.58
17-01-2015 08:00,11.73
17-01-2015 09:00,11.62
17-01-2015 10:00,12
17-01-2015 11:00,11.89
17-01-2015 12:00,11.65
17-01-2015 13:00,13.01
17-01-2015 14:00,12.73
17-01-2015 15:00,12.94
17-01-2015 16:00,12.37
17-01-2015 17:00,12.25
17-01-2015 18:00,12.93
17-01-2015 19:00,13.51
17-01-2015 20:00,13.66
17-01-2015 21:00,13.05
17-01-2015 22:00,12.86
17-01-2015 23:00,12.36
18-01-2015 00:00,12.87
18-01-2015 01:00,12.84
18-01-2015 02:00,13.15
18-01-2015 03:00,13.04
18-01-2015 04:00,12.84
18-01-2015 05:00,12.5
18-01-2015 06:00,12.94
18-01-2015 07:00,12.4
18-01-2015 08:00,11.77
18-01-2015 09:00,11.22
18-01-2015 10:00,11.6
18-01-2015 11:00,11.62
18-01-2015 12:00,13.07
18-01-2015 13:00,12.71
18-01-2015 14:00,12.74
18-01-2015 15:00,13.23
18-01-2015 16:00,12.94
18-01-2015 17:00,12.47
18-01-2015 18:00,12.56
18-01-2015 19:00,13.08
18-01-2015 20:00,13.03
18-01-2015 21:00,12.99
18-01-2015 22:00,12.91
18-01-2015 23:00,12.72
19-01-2015 00:00,12.88
19-01-2015 01:00,12.95
19-01-2015 02:00,13.34
19-01-2015 03:00,12.89
19-01-2015 04:00,12.62
19-01-2015 05:00,12.67
19-01-2015 06:00,58.17
19-01-2015 07:00,31.2425
19-01-2015 08:00,35.0275
19-01-2015 09:00,34.1175
19-01-2015 10:00,55.42
19-01-2015 11:00,28.21
19-01-2015 12:00,18.94
19-01-2015 13:00,16.73
19-01-2015 14:00,17.37
19-01-2015 15:00,16.58
19-01-2015 16:00,16.81
19-01-2015 17:00,16.82
19-01-2015 18:00,16.91
19-01-2015 19:00,17.54
19-01-2015 20:00,14.25
19-01-2015 21:00,12.49
19-01-2015 22:00,13.04
19-01-2015 23:00,12.54
20-01-2015 00:00,12.67
20-01-2015 01:00,12.44
20-01-2015 02:00,12.61
20-01-2015 03:00,12.48
20-01-2015 04:00,12.28
20-01-2015 05:00,12.03
20-01-2015 06:00,42.98
20-01-2015 07:00,29.23
20-01-2015 08:00,36.7775
20-01-2015 09:00,46.64
20-01-2015 10:00,36.67
20-01-2015 11:00,34.37
20-01-2015 12:00,33.44
20-01-2015 13:00,35.16
20-01-2015 14:00,34.34
20-01-2015 15:00,34.15
20-01-2015 16:00,32.01
20-01-2015 17:00,25.48
20-01-2015 18:00,22.41
20-01-2015 19:00,21.09
20-01-2015 20:00,16.92
20-01-2015 21:00,15.79
20-01-2015 22:00,14.63
20-01-2015 23:00,15.25
21-01-2015 00:00,14.99
21-01-2015 01:00,15.79
21-01-2015 02:00,14.03
21-01-2015 03:00,15.1
21-01-2015 04:00,13.49
21-01-2015 05:00,13.34
21-01-2015 06:00,17.55
21-01-2015 07:00,20.96
21-01-2015 08:00,24.77
21-01-2015 09:00,26.36
21-01-2015 10:00,29.28
21-01-2015 11:00,30.75
21-01-2015 12:00,31.56
21-01-2015 13:00,33.47
21-01-2015 14:00,33.54
21-01-2015 15:00,33.82
21-01-2015 16:00,31.11
21-01-2015 17:00,25.3
21-01-2015 18:00,22.64
21-01-2015 19:00,22.12
21-01-2015 20:00,17.71
21-01-2015 21:00,16.33
21-01-2015 22:00,16.26
21-01-2015 23:00,17.12
22-01-2015 00:00,16.26
22-01-2015 01:00,15.64
22-01-2015 02:00,14.73
22-01-2015 03:00,13.83
22-01-2015 04:00,12.82
22-01-2015 05:00,12.58
22-01-2015 06:00,18.44
22-01-2015 07:00,32.32
22-01-2015 08:00,34.95
22-01-2015 09:00,35.95
22-01-2015 10:00,33.06
22-01-2015 11:00,33.18
22-01-2015 12:00,31.93
22-01-2015 13:00,35.65
22-01-2015 14:00,35.11
22-01-2015 15:00,32.28
22-01-2015 16:00,28.73
22-01-2015 17:00,24.7
22-01-2015 18:00,20.18
22-01-2015 19:00,18.32
22-01-2015 20:00,15.18
22-01-2015 21:00,14.25
22-01-2015 22:00,13.71
22-01-2015 23:00,14.4
23-01-2015 00:00,14.06
23-01-2015 01:00,13.82
23-01-2015 02:00,13.33
23-01-2015 03:00,15.04
23-01-2015 04:00,12.33
23-01-2015 05:00,12.41
23-01-2015 06:00,36.76
23-01-2015 07:00,31.3975
23-01-2015 08:00,41.105
23-01-2015 09:00,50.37
23-01-2015 10:00,36.85
23-01-2015 11:00,34.36
23-01-2015 12:00,38.33
23-01-2015 13:00,34.15
23-01-2015 14:00,31.93
23-01-2015 15:00,30.82
23-01-2015 16:00,29.25
23-01-2015 17:00,21.61
23-01-2015 18:00,19.3
23-01-2015 19:00,24.72
23-01-2015 20:00,17.43
23-01-2015 21:00,13.93
23-01-2015 22:00,13.59
23-01-2015 23:00,13.28
24-01-2015 00:00,13.68
24-01-2015 01:00,13.94
24-01-2015 02:00,13
24-01-2015 03:00,13.3
24-01-2015 04:00,13.3
24-01-2015 05:00,13.35
24-01-2015 06:00,13.77
24-01-2015 07:00,13.26
24-01-2015 08:00,12.33
24-01-2015 09:00,11.86
24-01-2015 10:00,13.27
24-01-2015 11:00,13.08
24-01-2015 12:00,13.22
24-01-2015 13:00,13.37
24-01-2015 14:00,13.34
24-01-2015 15:00,13.22
24-01-2015 16:00,13.54
24-01-2015 17:00,13.52
24-01-2015 18:00,13.49
24-01-2015 19:00,14.02
24-01-2015 20:00,13.88
24-01-2015 21:00,14.22
24-01-2015 22:00,13.31
24-01-2015 23:00,13.73
25-01-2015 00:00,13.27
25-01-2015 01:00,13.82
25-01-2015 02:00,14.04
25-01-2015 03:00,13.31
25-01-2015 04:00,13.75
25-01-2015 05:00,13.07
25-01-2015 06:00,14.08
25-01-2015 07:00,12.67
25-01-2015 08:00,12.02
25-01-2015 09:00,12.36
25-01-2015 10:00,12.51
25-01-2015 11:00,13.9
25-01-2015 12:00,13.59
25-01-2015 13:00,12.76
25-01-2015 14:00,12.92
25-01-2015 15:00,13.14
25-01-2015 16:00,13.37
25-01-2015 17:00,13.31
25-01-2015 18:00,13.58
25-01-2015 19:00,12.77
25-01-2015 20:00,12.91
25-01-2015 21:00,13.34
25-01-2015 22:00,13.25
25-01-2015 23:00,12.98
26-01-2015 00:00,13.53
26-01-2015 01:00,13.05
26-01-2015 02:00,13.48
26-01-2015 03:00,13.31
26-01-2015 04:00,12.66
26-01-2015 05:00,12.8
26-01-2015 06:00,23.24
26-01-2015 07:00,28.3275
26-01-2015 08:00,32.66
26-01-2015 09:00,32.9725
26-01-2015 10:00,59.67
26-01-2015 11:00,44.82
26-01-2015 12:00,38.72
26-01-2015 13:00,39.53
26-01-2015 14:00,37.96
26-01-2015 15:00,37.05
26-01-2015 16:00,35.97
26-01-2015 17:00,30.88
26-01-2015 18:00,26.68
26-01-2015 19:00,27.15
26-01-2015 20:00,18.65
26-01-2015 21:00,14.47
26-01-2015 22:00,14.29
26-01-2015 23:00,13.88
27-01-2015 00:00,14.3
27-01-2015 01:00,15.58
27-01-2015 02:00,14.76
27-01-2015 03:00,14.01
27-01-2015 04:00,13.45
27-01-2015 05:00,12.44
27-01-2015 06:00,29.41
27-01-2015 07:00,47.63
27-01-2015 08:00,47.01
27-01-2015 09:00,45.91
27-01-2015 10:00,47.09
27-01-2015 11:00,38.92
27-01-2015 12:00,31.7
27-01-2015 13:00,32.83
27-01-2015 14:00,30.9
27-01-2015 15:00,30.04
27-01-2015 16:00,29.51
27-01-2015 17:00,25.08
27-01-2015 18:00,22.31
27-01-2015 19:00,21.09
27-01-2015 20:00,17.1
27-01-2015 21:00,13.81
27-01-2015 22:00,13.74
27-01-2015 23:00,13.81
28-01-2015 00:00,12.77
28-01-2015 01:00,12.47
28-01-2015 02:00,13.01
28-01-2015 03:00,12.87
28-01-2015 04:00,12.66
28-01-2015 05:00,12.71
28-01-2015 06:00,22.79
28-01-2015 07:00,37.42
28-01-2015 08:00,42.48
28-01-2015 09:00,43.97
28-01-2015 10:00,35.38
28-01-2015 11:00,33.85
28-01-2015 12:00,33.58
28-01-2015 13:00,31.54
28-01-2015 14:00,33.22
28-01-2015 15:00,32.04
28-01-2015 16:00,32.02
28-01-2015 17:00,26.36
28-01-2015 18:00,21.13
28-01-2015 19:00,19.93
28-01-2015 20:00,16.33
28-01-2015 21:00,14.62
28-01-2015 22:00,14.31
28-01-2015 23:00,15.03
29-01-2015 00:00,14.3
29-01-2015 01:00,14.47
29-01-2015 02:00,14.56
29-01-2015 03:00,14.51
29-01-2015 04:00,13.5
29-01-2015 05:00,13.63
29-01-2015 06:00,21.25
29-01-2015 07:00,28.45
29-01-2015 08:00,34.5
29-01-2015 09:00,33.26
29-01-2015 10:00,31.59
29-01-2015 11:00,32.13
29-01-2015 12:00,30.34
29-01-2015 13:00,33.78
29-01-2015 14:00,32.65
29-01-2015 15:00,33.34
29-01-2015 16:00,32.95
29-01-2015 17:00,22.98
29-01-2015 18:00,19.8
29-01-2015 19:00,20.07
29-01-2015 20:00,17.16
29-01-2015 21:00,14.06
29-01-2015 22:00,14.46
29-01-2015 23:00,14.11
30-01-2015 00:00,13.43
30-01-2015 01:00,12.76
30-01-2015 02:00,13.37
30-01-2015 03:00,13.96
30-01-2015 04:00,13.12
30-01-2015 05:00,12.46
30-01-2015 06:00,21.45
30-01-2015 07:00,32.14
30-01-2015 08:00,39.53
30-01-2015 09:00,38.64
30-01-2015 10:00,33.52
30-01-2015 11:00,32.25
30-01-2015 12:00,31.47
30-01-2015 13:00,33.65
30-01-2015 14:00,32.01
30-01-2015 15:00,31.2
30-01-2015 16:00,29.49
30-01-2015 17:00,26.44
30-01-2015 18:00,23.4
30-01-2015 19:00,22.99
